Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1582.7492229847062
FDW14,OUT017,1450.8908756040266
NCN55,OUT010,575.3229476594695
FDQ58,OUT017,2499.1952302945274
FDY38,OUT027,5854.451339766309
FDH56,OUT046,1953.4619575332388
FDL48,OUT018,735.1997302070246
FDC48,OUT027,2194.026195075622
FDN33,OUT045,1534.3552028350366
FDA36,OUT017,3059.249337243401
FDT44,OUT017,1966.6304750067166
FDQ56,OUT045,1427.697709829796
NCC54,OUT019,576.0938427553285
FDU11,OUT049,2016.0304831587948
DRL59,OUT013,825.796379948897
FDM24,OUT049,2484.9051686108464
FDI57,OUT045,3106.30435378793
DRC12,OUT018,3057.5740410211747
NCM42,OUT027,2909.4523063762067
FDA46,OUT010,505.27818856152453
FDA31,OUT013,2842.389496624457
NCJ31,OUT035,3865.274726193401
FDG52,OUT046,737.4969081724312
NCL19,OUT019,290.08288418343267
FDS10,OUT035,3024.98547851457
FDX22,OUT010,567.5248316292789
NCF19,OUT035,735.0825324948306
NCE06,OUT046,2560.5084313335046
DRC27,OUT046,3868.0073382333967
FDE21,OUT035,1948.1354753366252
NCR42,OUT019,131.68733936385073
FDX51,OUT018,3059.249337243401
NCR06,OUT018,668.6525191934118
FDU31,OUT027,5856.906671805633
FDU59,OUT017,2574.148561884361
FDR03,OUT027,5856.906671805633
FDS49,OUT027,2057.5200243062623
FDD48,OUT010,268.0860187802682
NCF18,OUT017,3057.5740410211747
NCD43,OUT027,2856.43460942035
NCD54,OUT018,2133.5751721813963
FDY19,OUT010,268.57542271440127
NCY54,OUT017,2840.313453443998
NCL19,OUT018,2472.4480307873473
FDP23,OUT010,571.2212536645715
FDC26,OUT013,1690.5389567048876
FDR14,OUT010,131.68733936385073
NCS41,OUT035,3059.249337243401
FDF41,OUT035,3876.771778976284
FDU34,OUT046,2020.3628665547803
DRH11,OUT046,937.577316462912
FDM03,OUT013,1583.2160031991903
FDS31,OUT017,3029.231851392325
FDJ20,OUT017,2016.0304831587948
FDV44,OUT027,5111.888591087445
FDG02,OUT049,3059.249337243401
FDA09,OUT013,2982.9090878496804
FDT04,OUT013,700.3968680930172
FDL58,OUT019,572.9350496635885
FDE52,OUT045,1483.650580821193
FDW12,OUT035,2472.4480307873473
FDL51,OUT017,3675.633802184183
NCY42,OUT027,3045.9428413869914
FDR07,OUT017,1534.3552028350366
FDN40,OUT045,2487.443625543546
FDB35,OUT027,2671.917432927253
FDA22,OUT017,2576.5916911844147
NCL06,OUT046,4075.3479724919243
FDI35,OUT013,3029.231851392325
NCW42,OUT045,3781.7080399632173
NCX06,OUT049,2987.5914840524533
FDC37,OUT027,2883.5877869906817
FDZ14,OUT018,2016.0304831587948
DRG49,OUT049,3857.0829951797086
NCG06,OUT045,4047.403925106456
DRC36,OUT045,2840.313453443998
FDV21,OUT019,279.634357972911
FDB53,OUT046,2477.5761308969904
DRP47,OUT019,575.5227127611388
FDA14,OUT013,2475.3978147734338
DRC24,OUT035,2487.443625543546
FDW21,OUT018,1560.998518092739
NCH29,OUT046,1534.3552028350366
FDU58,OUT013,3059.249337243401
FDY27,OUT017,2882.3946474044646
FDV56,OUT035,1585.323974826158
FDT59,OUT046,3810.4832665786234
FDB23,OUT046,3796.0093077487504
FDR49,OUT045,733.2556101366303
FDB03,OUT010,576.4309460600348
FDN39,OUT045,2574.9163949621875
FDX02,OUT027,5854.451339766309
FDQ16,OUT027,2883.5877869906817
FDU35,OUT018,1541.6726984074353
NCT29,OUT013,2016.0304831587948
FDZ27,OUT046,737.4969081724312
FDN57,OUT017,2034.7379550951728
FDA03,OUT018,2477.5761308969904
FDZ36,OUT045,3059.249337243401
NCU05,OUT013,1468.9646093340891
FDT39,OUT018,2484.9051686108464
FDK60,OUT017,1534.3552028350366
FDZ25,OUT017,2730.221992393615
FDG12,OUT046,2016.0304831587948
DRB01,OUT019,498.32110964362255
NCC43,OUT027,5854.451339766309
FDX13,OUT019,571.3204016670549
FDM22,OUT049,841.3552563407264
FDJ03,OUT027,1085.9730446826068
FDU14,OUT018,3808.323480247222
FDB33,OUT010,381.94951084686886
FDP27,OUT046,3059.249337243401
FDO38,OUT010,159.67397632921129
FDE28,OUT027,5854.451339766309
FDO27,OUT035,1534.3552028350366
DRL23,OUT027,2874.324773580137
FDS28,OUT046,937.577316462912
FDX24,OUT013,1540.0685671313017
FDZ02,OUT035,1534.3552028350366
FDL46,OUT045,1953.4619575332388
FDS60,OUT027,4714.487693228695
NCO06,OUT017,661.1481834527054
FDO16,OUT035,1422.2252819981793
FDC60,OUT049,1452.6910451122985
FDA48,OUT018,3538.2322424968097
FDZ36,OUT027,5090.027374907974
FDK27,OUT045,2016.0304831587948
FDW23,OUT018,666.0160325872735
FDM14,OUT018,1651.3770696097165
FDM14,OUT013,1585.6275844196384
FDW60,OUT018,2882.3946474044646
FDE21,OUT013,1948.1354753366252
NCM42,OUT035,1588.0437466045928
FDY59,OUT010,227.55419965538422
DRI49,OUT049,1368.4662543401907
FDT28,OUT019,363.88144022815305
FDQ22,OUT018,666.9600689861576
FDR60,OUT049,1277.519332818098
FDC50,OUT019,234.38359527435466
FDV24,OUT013,2484.9051686108464
DRF48,OUT010,488.3034471649716
FDQ47,OUT046,665.9896253232753
DRN36,OUT049,1534.3552028350366
NCY06,OUT035,2023.3243217437955
FDE52,OUT035,1481.0444960936145
NCB54,OUT045,2020.3628665547803
NCF31,OUT035,2487.443625543546
FDJ08,OUT027,5123.916340082729
NCC07,OUT017,1577.9257161267753
NCD19,OUT027,1234.7570091337361
FDL46,OUT049,1971.7888000825758
FDM20,OUT045,3902.7078182334017
NCI06,OUT010,455.23878647466614
DRM11,OUT035,4087.7272037872062
NCH07,OUT018,2541.275787569227
FDS23,OUT013,2029.4678793564756
FDO49,OUT018,732.6554663018615
FDS35,OUT049,1082.3002782666329
DRK39,OUT045,1395.7950138026572
DRI39,OUT049,908.2363976225735
FDV04,OUT017,2541.275787569227
NCN14,OUT035,3057.5740410211747
FDH08,OUT013,3793.1481098499253
FDS20,OUT046,3059.249337243401
FDV40,OUT049,1127.3996275659638
FDZ48,OUT010,258.75440323923624
FDS24,OUT027,2555.9862950005986
FDK44,OUT049,2840.71420040223
FDS48,OUT045,2479.7764471723876
FDK26,OUT010,489.2802646823791
FDD23,OUT045,3059.249337243401
NCH54,OUT017,2560.5084313335046
NCP14,OUT010,242.85451934347782
FDM60,OUT010,131.68733936385073
FDV24,OUT017,2484.9051686108464
FDH08,OUT018,3593.9039438442355
FDS12,OUT027,3027.569247264864
FDR39,OUT027,4786.67852693545
FDP12,OUT027,1027.4013313492312
DRF60,OUT027,5857.583269935944
FDC09,OUT035,1575.36154417773
FDF50,OUT018,3078.0207305404097
FDG28,OUT035,3908.620319097506
NCE19,OUT017,902.3099174466803
NCM53,OUT010,252.54348385900488
NCN18,OUT049,1663.672938407607
FDF32,OUT035,3124.0706532338663
FDF11,OUT013,3877.8362386952667
DRI59,OUT049,3799.3342150997337
NCG54,OUT035,2730.221992393615
FDM44,OUT046,1570.6111036995653
FDT57,OUT018,3642.8043192651844
FDV24,OUT046,2484.9051686108464
FDI50,OUT019,571.8915316612445
FDS09,OUT035,751.7489168583362
NCC31,OUT027,4087.1114999331708
