Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.2997860000003
FDW14,OUT017,1435.9121343750003
NCN55,OUT010,584.7577647727275
FDQ58,OUT017,2649.1102324324333
FDY38,OUT027,6280.890880000001
FDH56,OUT046,1922.1493817142857
FDL48,OUT018,713.8586545454547
FDC48,OUT027,2517.8820884848487
FDN33,OUT045,1879.2570116129027
FDA36,OUT017,2752.970934653465
FDT44,OUT017,1922.1493817142857
FDQ56,OUT045,1435.9121343750003
NCC54,OUT019,584.7577647727275
FDU11,OUT049,2142.743570940171
DRL59,OUT013,713.8586545454547
FDM24,OUT049,2286.4132673684207
FDI57,OUT045,3130.004904950494
DRC12,OUT018,2893.8398258992815
NCM42,OUT027,3242.0620715328473
FDA46,OUT010,482.6995426229507
FDA31,OUT013,2778.589317525773
NCJ31,OUT035,3737.29577518248
FDG52,OUT046,798.2176035398229
NCL19,OUT019,281.48208181818165
FDS10,OUT035,3384.108064242422
FDX22,OUT010,584.7577647727275
NCF19,OUT035,798.2176035398229
NCE06,OUT046,2503.5013364485985
DRC27,OUT046,3643.519725984251
FDE21,OUT035,1922.1493817142857
NCR42,OUT019,92.67548155339806
FDX51,OUT018,2893.8398258992815
NCR06,OUT018,507.04640366972507
FDU31,OUT027,5329.314724444445
FDU59,OUT017,2503.5013364485985
FDR03,OUT027,5329.314724444445
FDS49,OUT027,2517.8820884848487
FDD48,OUT010,281.48208181818165
NCF18,OUT017,2939.348476190476
NCD43,OUT027,2517.8820884848487
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.48208181818165
NCY54,OUT017,2778.589317525773
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727275
FDC26,OUT013,1649.2997860000003
FDR14,OUT010,165.91858165137606
NCS41,OUT035,3384.108064242422
FDF41,OUT035,3737.29577518248
FDU34,OUT046,1987.2510486486474
DRH11,OUT046,935.0323883040932
FDM03,OUT013,1461.8437959999999
FDS31,OUT017,3384.108064242422
FDJ20,OUT017,2142.743570940171
FDV44,OUT027,5329.314724444445
FDG02,OUT049,2752.970934653465
FDA09,OUT013,3259.5620849056604
FDT04,OUT013,507.04640366972507
FDL58,OUT019,584.7577647727275
FDE52,OUT045,1435.9121343750003
FDW12,OUT035,2286.4132673684207
FDL51,OUT017,3643.519725984251
NCY42,OUT027,3242.0620715328473
FDR07,OUT017,1573.0706258064513
FDN40,OUT045,2286.4132673684207
FDB35,OUT027,2517.8820884848487
FDA22,OUT017,2286.4132673684207
NCL06,OUT046,4034.300306896552
FDI35,OUT013,3384.108064242422
NCW42,OUT045,4340.218358415841
NCX06,OUT049,2778.589317525773
FDC37,OUT027,2517.8820884848487
FDZ14,OUT018,1752.2524400000002
DRG49,OUT049,3454.0625591549287
NCG06,OUT045,4034.300306896552
DRC36,OUT045,3259.5620849056604
FDV21,OUT019,281.48208181818165
FDB53,OUT046,3053.099877777778
DRP47,OUT019,584.7577647727275
FDA14,OUT013,3053.099877777778
DRC24,OUT035,2644.4778427083347
FDW21,OUT018,1372.6884907407407
NCH29,OUT046,1682.212238235294
FDU58,OUT013,2893.8398258992815
FDY27,OUT017,2552.005235185186
FDV56,OUT035,1682.212238235294
FDT59,OUT046,3945.4325672131163
FDB23,OUT046,3945.4325672131163
FDR49,OUT045,798.2176035398229
FDB03,OUT010,584.7577647727275
FDN39,OUT045,2453.7477006993013
FDX02,OUT027,5329.314724444445
FDQ16,OUT027,2517.8820884848487
FDU35,OUT018,1372.6884907407407
NCT29,OUT013,1987.2510486486474
FDZ27,OUT046,798.2176035398229
FDN57,OUT017,2309.200798
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3384.108064242422
NCU05,OUT013,1284.789766871165
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1461.8437959999999
FDZ25,OUT017,3053.099877777778
FDG12,OUT046,2243.669596721312
