Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1844.0
FDW14,OUT017,1556.0
NCN55,OUT010,1916.0
FDQ58,OUT017,2596.0
FDY38,OUT027,5176.0
FDH56,OUT046,1908.0
FDL48,OUT018,624.0
FDC48,OUT027,2768.0
FDN33,OUT045,1480.0
FDA36,OUT017,3060.0
FDT44,OUT017,1992.0
FDQ56,OUT045,1284.0
NCC54,OUT019,1832.0
FDU11,OUT049,2036.0
DRL59,OUT013,920.0
FDM24,OUT049,2544.0
FDI57,OUT045,3068.0
DRC12,OUT018,2800.0
NCM42,OUT027,3184.0
FDA46,OUT010,1164.0
FDA31,OUT013,2824.0
NCJ31,OUT035,3872.0
FDG52,OUT046,812.0
NCL19,OUT019,352.0
FDS10,OUT035,3008.0
FDX22,OUT010,1456.0
NCF19,OUT035,896.0
NCE06,OUT046,2532.0
DRC27,OUT046,3848.0
FDE21,OUT035,2000.0
NCR42,OUT019,-1384.0
FDX51,OUT018,2880.0
NCR06,OUT018,456.0
FDU31,OUT027,4928.0
FDU59,OUT017,2700.0
FDR03,OUT027,4760.0
FDS49,OUT027,2760.0
FDD48,OUT010,-52.0
NCF18,OUT017,3100.0
NCD43,OUT027,3096.0
NCD54,OUT018,2024.0
FDY19,OUT010,-12.0
NCY54,OUT017,2812.0
NCL19,OUT018,2056.0
FDP23,OUT010,1552.0
FDC26,OUT013,1848.0
FDR14,OUT010,-1004.0
NCS41,OUT035,3016.0
FDF41,OUT035,4024.0
FDU34,OUT046,2012.0
DRH11,OUT046,928.0
FDM03,OUT013,1800.0
FDS31,OUT017,3036.0
FDJ20,OUT017,2076.0
FDV44,OUT027,4480.0
FDG02,OUT049,3092.0
FDA09,OUT013,2936.0
FDT04,OUT013,720.0
FDL58,OUT019,2264.0
FDE52,OUT045,1424.0
FDW12,OUT035,2472.0
FDL51,OUT017,3532.0
NCY42,OUT027,3680.0
FDR07,OUT017,1652.0
FDN40,OUT045,2352.0
FDB35,OUT027,2936.0
FDA22,OUT017,2732.0
NCL06,OUT046,4116.0
FDI35,OUT013,2936.0
NCW42,OUT045,3392.0
NCX06,OUT049,2924.0
FDC37,OUT027,3192.0
FDZ14,OUT018,1744.0
DRG49,OUT049,3944.0
NCG06,OUT045,3936.0
DRC36,OUT045,2692.0
FDV21,OUT019,48.0
FDB53,OUT046,2372.0
DRP47,OUT019,2032.0
FDA14,OUT013,2376.0
DRC24,OUT035,2548.0
FDW21,OUT018,1432.0
NCH29,OUT046,1556.0
FDU58,OUT013,3088.0
FDY27,OUT017,2932.0
FDV56,OUT035,1920.0
FDT59,OUT046,3660.0
FDB23,OUT046,3612.0
FDR49,OUT045,680.0
FDB03,OUT010,1940.0
FDN39,OUT045,2588.0
FDX02,OUT027,4984.0
FDQ16,OUT027,3192.0
FDU35,OUT018,1376.0
NCT29,OUT013,1984.0
FDZ27,OUT046,828.0
FDN57,OUT017,2336.0
FDA03,OUT018,2124.0
FDZ36,OUT045,2888.0
NCU05,OUT013,1344.0
FDT39,OUT018,2192.0
FDK60,OUT017,1708.0
FDZ25,OUT017,2836.0
FDG12,OUT046,2028.0
DRB01,OUT019,1108.0
NCC43,OUT027,5384.0
FDX13,OUT019,2008.0
FDM22,OUT049,1012.0
FDJ03,OUT027,2296.0
FDU14,OUT018,3708.0
FDB33,OUT010,644.0
FDP27,OUT046,3012.0
FDO38,OUT010,-644.0
FDE28,OUT027,5152.0
FDO27,OUT035,1680.0
DRL23,OUT027,3168.0
FDS28,OUT046,956.0
FDX24,OUT013,1568.0
FDZ02,OUT035,1712.0
FDL46,OUT045,1792.0
FDS60,OUT027,4296.0
NCO06,OUT017,628.0
FDO16,OUT035,1500.0
FDC60,OUT049,1524.0
FDA48,OUT018,3232.0
FDZ36,OUT027,4440.0
FDK27,OUT045,1848.0
FDW23,OUT018,408.0
FDM14,OUT018,1536.0
FDM14,OUT013,1808.0
FDW60,OUT018,2620.0
FDE21,OUT013,1928.0
